HS Code,Item (Arabic),Duty Rate (%)
02013010000,اللحوم المفرومة المهيأة بشكل قطع للاستخدام في السندويشات من فصيلة الأبقار طازجة أو مبردة,15
02013090000,"لحوم دون عظام من فصيلة الأبقار, طازجة أو مبردة (غ. م.ك)",0
02021000000,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الأبقار مجمدة,0
02022000000,قطع أخر بعظمها من لحوم فصيلة الأبقار مجمدة,0
02023010000,اللحوم المفرومة المهيأة بشكل قطع للاستخدام في السندويشات من فصيلة الأبقار مجمدة,15
02023090000,لحوم دون عظام من فصيلة الأبقار مجمدة (غ. م.ك),0
02031100000,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الخنازير طازجة أو مبردة,5
02031200000,أفخاذ وأكتاف وقطعها بعظمها من لحوم فصيلة الخنازير طازجة أو مبردة,5
02031900000,لحوم من فصيلة الخنازير (غ. م.ك) طازجة أو مبردة,5
02032100000,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الخنازير مجمدة,5
02032200000,أفخاذ وأكتاف وقطعها بعظمها من لحوم فصيلة الخنازير مجمدة,5
02032900000,لحوم من فصيلة الخنازير (غ. م.ك) مجمدة,5
02041000000,"ذبائح كاملة وأنصاف ذبائح من حملان, طازجة أو مبردة",0
02042100000,"ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة ضأن أخر ( عدا الحملان), طازجة أو مبردة",0
02042200000,قطع آخر بعظمها من لحوم فصيلة الضأن طازجة أو مبردة,0
02042310000,اللحوم المفرومة المهيأة بشكل قطع للاستخدام في السندويشات من فصيلة الضان طازجة أو مبردة,15
02042390000,لحوم دون عظام من فصيلة الضان طازجة أو مبردة (غ.م.ك),5
02043000000,ذبائح كاملة وأنصاف ذبائح من حملان مجمدة,0
02044100000,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة ضأن أخر (عدا الحملان) مجمدة,0
02044200000,"قطع آخر بعظمها من لحوم فصيلة ضأن أخر (غ.م.ك), مجمدة",0
02044310000,اللحوم المفرومة المهيأة بشكل قطع للاستخدام في السندويشات من فصيلة الضان مجمدة,15
02044390000,"لحوم دون عظام من فصيلة الضان, مجمدة (غ. م.ك)",5
02045000000,لحوم من فصيلة الماعز طازجة أو مبردة أو مجمدة,0
02050000100,لحوم فصائل الخيول و .... طازجة أو مبردة,5
02050000900,لحوم فصائل الخيول والحمير والبغال ... (غ. م.ك),5
02061000000,أحشاء وأطراف صالحة للأكل من فصيلة الأبقار طازجة أو مبردة,5
02062100000,السنة صالحة للأكل من فصيلة الأبقار مجمدة,5
02062200000,أكباد صالحة للأكل من فصيلة الأبقار مجمدة,5
02062910000,أحشاء وأطراف صالحة للأكل.. من فصيلة الأبقار مجمدة المستوردة .. المصانع كمدخلات انتاج,0
02062990000,أحشاء وأطراف صالحة للأكل ( عدا الألسنة و الأكباد من فصيلة الأبقار مجمدة (غ. م.ك),5
02063000000,"أحشاء وأطراف صالحة للأكل من فصيلة الخنازير, طازجة أو مبردة",5
02064100000,أكباد صالحة للأكل من فصيلة الخنازير مجمدة,5
02064900000,أحشاء وأطراف صالحة للأكل ( عدا الأكباد من فصيلة الخنازير مجمدة,5
02068000100,أمعاء غنم صالحة للأكل طازجة أو مبردة,5
02068000900,"أحشاء وأطراف صالحة للأكل, عدا أمعاء غنم من فصيلة الضأن والماعز طازجة أو مبردة",5
02069000100,أمعاء غنم صالحة للأكل مجمدة,5
02069000900,"أحشاء وأطراف صالحة للأكل, عدا أمعاء غنم من فصيلة الضأن والماعز مجمدة",5
02071100000,لحوم غير مقطعة صالحة للأكل من ديوك ودجاجات أليفة طازجة أو مبردة,25
02071200000,لحوم غير مقطعة صالحة للأكل من ديوك ودجاجات أليفة مجمدة,25
02071300000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من ديوك ودجاجات أليفة طازجة أو مبردة",25
02071430000,لحوم و.. مقطعة صالحة للأكل من ديوك .. أليفة مجمدة مستورد.. مصانع كمدخل انتاج بعبوات لا تقل عن كغم7.5,0
02071490000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من ديوك ودجاجات أليفة مجمدة (غ. م.ك)",25
02072400000,"لحوم غير مقطعة صالحة للأكل من حبش, طازجة أو مبردة",5
02072500000,لحوم غير مقطعة صالحة للأكل من حبش مجمدة,5
02072610000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من حبش, طازجة أو مبردة بدون عظم مستورد.. محضرات اللحوم",0
02072690000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من حبش, طازجة أو مبردة (غ. م.ك)",5
02072710000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من حبش, مجمدة بدون عظم مستورد.. محضرات اللحوم",0
02072790000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من حبش, مجمدة (غ. م.ك)",5
02074100000,"لحوم وأحشاء وأطراف غير مقطعة صالحة للأكل من بط, طازجة أو مبردة",5
2074200000,"لحوم وأحشاء وأطراف غير مقطعة صالحة للأكل من بط, مجمدة",5
02074300000,أكباد دسمة صالحة للأكل من بط طازجة أو مبردة,5
02074400000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من بط (غ.م.ك), طازجة أو مبردة",5
02074500000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من بط, مجمدة",5
02075100000,لحوم وأحشاء وأطراف غير مقطعة صالحة للأكل من اوز طازجة أو مبردة,5
02075200000,لحوم وأحشاء وأطراف غير مقطعة صالحة للأكل من اوز مجمدة,5
02075300000,أكباد دسمة صالحة للأكل من اوز طازجة أو مبردة,5
02075400000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من اوز (غ.م.ك), طازجة أو مبردة",5
02075500000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من اوز مجمدة",5
02076010000,لحوم وأحشاء وأطراف غير مقطعة صالحة للأكل من دجاج غينيا ( غرغر) طازجة أو مبردة,5
02076020000,"لحوم وأحشاء وأطراف غير مقطعة صالحة للأكل, من دجاج غينيا ( غرغر) مجمدة",5
02076030000,لحوم وأحشاء وأطراف غير مقطعة صالحة للأكل من دجاج غينيا (غرغر) مجمدة,5
02076040000,"لحوم وأحشاء وأطراف, مقطعة صالحة للأكل من دجاج غينيا (غرغر) مجمدة",5
02081000000,"لحوم وأحشاء وأطراف, صالحة للأكل من أرانب أليفة أو برية طازجة أو مبردة أو مجمدة",5
02083000000,لحوم واحشاء واطراف اخر صالحة للاكل طازجة او مبردة او مجمدة من حيوانات رئيسة,5
02084000000,لحوم واحشاء واطراف اخر صالحة للاكل طازجة او... مجمدة من حيتان.. بحر خراف بحر واطومات عجول.. بحر,5
02085000000,لحوم واحشاء واطراف اخر صالحة للاكل طازجة او مبردة او مجمدة من زواحف,5
02086000000,لحوم واحشاء طازجة او مبردة او مجمدة من جمال و حيوانات اخر من فصيلة الجمال,5
02089000100,لحوم وأحشاء وأطراف أخر صالحة للأكل طازجة أو مبردة أو مجمدة من ....,5
02089000900,لحوم وأحشاء وأطراف أخر صالحة للأكل طازجة أو مبردة أو مجمدة (غ. م.ك),5
02091000000,شحم و دهن خنزير صرف غير مستخلص طازجا أو مبردا أو مجمدا أو مملحا أو في ماء مملح أو مجففا أو مدخنا,5
02099000000,"شحم و دهن طيور دواجن غير مستخلص, طازجا أو مبردا أو مجمدا أو مملحا أو في ماء مملح أو مجففا أو مدخنا",5
02101100000,"أفخاذ وأكتاف خنازير وقطعها بعظمها صالحة للأكل, مملحة أو في ماء مملح, مجففة أو مدخنة",5
02101200000,"صدور خنازير يتخللها شحم وقطعها صالحة للأكل مملحة أو في ماء مملح, مجففة أو مدخنة",5
02101900000,لحوم خنازير صالحة للأكل (غ. م.ك) مملحة أو في ماء مملح مجففة أو مدخنة,5
02102000000,"لحوم من فصيلة الأبقار صالحة للأكل مملحة أو في ماء مملح, مجففة أو مدخنة",5
02109100000,"لحوم وأحشاء وأطراف مملحة .. من حيوانات رئيسية صالحة للأكل, مجففة مدخنة ، دقيق او مساحيق (غ. م.ك)",5
02109200000,"لحوم وأحشاء و .. صالحة للأكل, مملحة أو في ماء مملح من حيتان... خرفان بحرواطومات: عجول بحر وفقمات...",5
02109300000,"لحوم وأحشاء وأطراف (غ. م.ك), صالحة للأكل مجففة از مدخنة او مساحيق اودقيق من زواحف",5
02109900000,"لحوم وأحشاء وأطراف (غ. م.ك) صالحة للأكل, مجففة او مدخنة و دقيق او مساحيق (غ.م.ك)",0
03011100000,أسماك حية نهرية للزينة,5
03011900000,أسماك حية للزينة (غ. م.ك),5
03019100000,أسماك تروتا ( سالموتروتا) حية,0
03019200000,أسماك الأنقليس من نوع أنجويلا الحي,0
03019300000,سمك الشبوط (Cyprinus spp. etc),0
03019400000,تونة الاطلنطي والمحيط الهادي زعانف زرقاء حية,5
03019500000,تونة حمراء ذات زعانف زرقاء جنوبية حية,5
03019900000,أسماك حية أخر (عدا الزينة والتروتة والأنقليس),0
03021100000,أسماك تروتا طازجة أو مبردة,5
03021300000,سلمون محيط هادي طازجة او مبردة,5
03021400000,سلمون الأطلنطي وسلمون الدانوب طازجة أو مبردة,5
03021900000,سلمون آخر طازج أو مبرد,5
03022100000,أسماك قفندر طازجة أو مبردة,0
03022200000,أسماك هو شع طازجة أو مبردة,0
03022300000,أسماك موسى طازجة أو مبردة,0
03022400000,أسماك تربوت طازجة أو مبردة,0
03022900000,أسماك مفلطحة أخر طازجة أو مبردة,0
03023000000,سمك تونة من جنس ثونوس (باستثناء الأحشاء),0
03023100000,أسماك تونه بيضاء طازجة أو مبردة,0
03023200000,أسماك تونه ذات زعانف صفراء طازجة أو مبردة,0
03023300000,سمك تونه وثابه طازجة أو مبردة,0
03023400000,تونة بيج اي طازجة او مبردة,0
03023500000,تونة الاطلنطي والمحيط الهادي زعانف زرقاء طازجة,0
03023600000,تونة بلوفن الجنوبية طازجة او مبردة,0
03023900000,أسماك تونه آخر (غ.م.ك) طازجة أو مبردة,0
03024100000,اسماك الرنجة طازجة او مبردة,0
03024200000,اسماك الانشوفة طازجة او مبردة,0
03024300000,اسماك السردين طازجة او مبردة,0
03024400000,"أسماك الأسقمرى ""ماكريل"" طازجة أو مبردة",0
03024500000,سمك ماكريل صغير وسمك التن طازجة أو مبردة,0
03024600000,أسماك كوبيا طازجة أو مبردة,0
03024700000,اسماك ابو سيف طازجة أو مبردة,0
03024900000,غيرها (طازجة أو مبردة),0
03025100000,أسماك القد طازجة أو مبردة,0
03025200000,أسماك الحدوق طازجة أو مبردة,0
03025300000,سمك أسود طازج أو مبرد,0
03025400000,سمك نازلي طازج أو مبرد,0
03025500000,سمك ألاسكا بولوك طازج أو مبرد,0
03025600000,أسماك القد الازرق طازجة أو مبردة,0
03025900000,أسماك آخر من عائلة برجما سيروتيدا طازجة,0
03027100000,أسماك بلطي طازجة أو مبردة,0
03027200000,أسماك سلور طازجة أو مبردة,0
03027300000,سمك الشبوط طازجة أو مبردة,0
03027400000,سمك الأنقليس من نوع انجويلا طازج أو مبرد,0
03027900000,أسماك من عائلة سمك نهر النيل طازجة أو مبردة,0
03028100000,سمك كلاب البحر والقرش طازجة أو مبردة,0
03028200000,سمك الشفنين البحري طازجة أو مبردة,0
03028300000,اسماك ابو سن طازجة أو مبردة,0
03028400000,اسماك قاروس طازجة او مبردة,0
03028500000,سمك اسبور طازجة او مبردة,0
03028900000,أسماك آخر (باستثناء الأكباد والبيض) طازجة,0
03029100000,أكباد وبيض وغدد تذكير,5
03029200000,زعانف أسماك قرش,5
03029900000,أكباد وبيض وزعانف ورؤوس وذيول (أحشاء),5
03031100000,سلمون سوكي (أحمر) مجمدة,5
03031200000,سلمون محيط هادي مجمدة,5
03031300000,سلمون الأطلنطي وسلمون الدانوب مجمدة,5
03031400000,أسماك تروتا مجمدة,5
03031900000,اسماك فصيلة سلمون المحيط الهادي مجمدة,5
03032300000,أسماك بلطي مجمدة,0
03032400000,أسماك سلور مجمدة,0
03032500000,سمك الشبوط مجمدة,0
03032600000,سمك الأنقليس مجمدة,0
03032900000,أسماك من عائلة سمك نهر النيل مجمدة,0
03033100000,سمك القفندر مجمد,0
03033200000,سمك هو شع مجمد,0
03033300000,أسماك موسى مجمدة,0
03033400000,"أسماك الترس ""تربوت""",0
03033900000,أسماك مفلطحة أخر مجمدة,0
03034100000,سمك تونه بيضاء مجمد,0
03034200000,سمك تونه ذات زعانف صفراء مجمدة,0
03034300000,سمك تونة وثابة مجمد,0
03034400000,تونة بيج اي مجمدة,0
03034500000,تونة الاطلنطي والمحيط الهادي زعانف زرقاء مجمدة,0
03034600000,تونة بلوفن الجنوبية مجمدة,0
03034900000,أسماك تونة آخر مجمدة,0
03035100000,اسماك الرنجة مجمدة,0
03035300000,اسماك السردين مجمدة,0
03035400000,"أسماك الأسقمرى ""ماكريل"" مجمدة",0
03035500000,سمك ماكريل صغير وسمك التن مجمدة,0
03035600000,أسماك كوبيا مجمدة,0
03035700000,اسماك ابو سيف مجمدة,0
03035900000,سمك الانشوجة والسردين مجمد,0
03036300000,أسماك القد مجمدة,0
03036400000,أسماك الحدوق مجمدة,0
03036500000,اسماك سوداء مجمدة,0
03036600000,سمك نازلي مجمدة,0
03036700000,سمك ألاسكا بولوك مجمدة,0
03036800000,أسماك القد الازرق مجمدة,0
03036900000,أسماك أخر من عائلة برجما سيروتيدا مجمدة,0
03038100000,كلاب البحر وغيرها من أسماك القرش مجمدة,0
03038200000,سمك الشفنين البحري مجمدة,0
03038300000,اسماك ابو سن مجمدة,0
03038400000,سمك قاروس مجمدة,0
03038900000,اسماك اخر (غ. م.ك) مجمدة,0
03039100000,أكباد وبيض وغدد تذكير,5
03039200000,زعانف أسماك قرش,5
03039900000,أحشاء الأسماك الصالحة للأكل,5
03043100000,شرائح من أسماك بلطي طازجة أو مبردة,5
03043200000,شرائح أسماك سلور طازجة أو مبردة,5
03043300000,شرائح من أسماك نهر النيل طازجة أو مبردة,5
03043900000,شرائح من سمك الشبوط والأنقليس طازجة أو مبردة,5
03044100000,سلمون اطلنطي ودانوب طازجة او مبردة,5
03044200000,شرائح سمك تروتا طازجة او مبردة,5
03044300000,شرائح سمك مفلطح طازجة او مبردة,5
03044400000,شرائح مفرومة سمك عائلة برجما سيروتيدا طازجة,5
03044500000,شرائح اسماك ابو سيف مفرومة طازجة أو مبردة,5
03044600000,شرائح اسماك ابو سن مفرومة طازجة أو مبردة,5
03044700000,كلب البحر واسماك قرش أخر,5
03044800000,سمك السفنين وسمك السفن,5
03044900000,شرائح غيرها من الأسماك مفرومة طازجة أو مبردة,5
03045100000,سمك سلور وبلطي طازجة او مبردة (غ.م),0
03045200000,لحوم فصيلة السلمون مفرومة طازجة او مبردة,5
03045300000,لحوم سمك عائلة برجما سيروتيدا طازجة,5
03045400000,لحوم اسماك ابو سيف مفرومة طازجة أو مبردة,5
03045500000,لحوم اسماك ابو سن مفرومة طازجة أو مبردة,5
03045600000,كلب البحر وأسماك قرش أخر,5
03045700000,سمك الشفنين وسمك السفن,5
03045900000,لحوم اسماك اخر مفرومة طازجة أو مبردة,5
03046100000,شرائح من أسماك بلطي مجمدة,0
03046200000,شرائح أسماك سلور مجمدة,0
03046300000,شرائح من أسماك نهر النيل مجمدة,0
03046900000,شرائح من سمك الشبوط والأنقليس مجمدة,0
03047100000,شرائح أسماك القد مجمدة,0
03047200000,شرائح أسماك الحدوق مجمدة,0
03047300000,شرائح اسماك اسود مجمدة,0
03047400000,شرائح سمك نازلي مجمدة,0
03047500000,سمك ألاسكا بولاك مجمدة,0
03047900000,شرائح أسماك عائلة برجما سيروتيدا مجمدة,0
03048100000,شرائح سلمون محيط هادي واطلنطي مجمدة,0
03048200000,شرائح سمك تروتا مجمدة,0
03048300000,شرائح سمك مفلطح مجمدة,0
03048400000,شرائح اسماك ابو سيف مفرومة مجمدة,0
03048500000,شرائح اسماك ابو سن مفرومة مجمدة,0
03048600000,شرائح اسماك الرنجة مجمدة,0
03048700000,سمك تونة من جنس ثونوس مجمدة,0
03048800000,كلب البحر والقرش والشفنين,0
03048900000,شرائح اسماك اخر مفرومة مجمدة,0
03049100000,لحوم أسماك ابو سيف مفرومة مجمدة,0
03049200000,لحوم أسماك ابو سن مفرومة مجمدة,0
03049300000,سمك سلور وبلطي وسبوط مجمدة,0
03049400000,سمك ألاسكا بولوك مجمدة,0
03049500000,أسماك من عائلات برجما سيروتيدا وآخرين,0
03049600000,كلب البحر وأسماك قرش أخر,0
03049700000,سمك الشفنين والاسفن,0
03049900000,لحوم اسماك اخر مفرومة مجمدة,0
03052000000,أكباد وبيض وغدد تذكير مجففة أو مملحة,5
03053100000,سمك بلطي وسلور مجففة او مملحة,5
03053200000,شرائح سمك عائلة برجما سيروتيدا مجففة,5
03053900000,شرائح اسماك مجففة او مملحة غير مدخنة,5
03054100000,سلمون محيط هادي واطلنطي مدخنة,5
03054200000,سمك رنجة مدخنة,5
03054300000,اسماك وشرائح تروتا مدخنة,5
03054400000,سمك بلطي وسلور مدخنة,5
03054900000,أسماك مدخنة أخر,5
03055100000,سمك القد مجفف وغير مدخن,5
03055200000,سمك بلطي وسلور (مجفف),5
03055300000,أسماك من عائلات برجما سيروتيدا (مجفف),5
03055400000,سمك رنجة وأنشوجة (مجفف),5
03055900000,أسماك أخر مجففة وغير مدخنة,5
03056100000,سمك رنجة مملح,5
03056200000,سمك القد مملح,5
03056300000,سمك الأنشوجة مملح,5
03056400000,سمك بلطي وسلور وسبوط مملحة,5
03056900000,أسماك أخر مملحة أو في ماء مملح,5
03057100000,زعانف سمك القرش (مجفف/مملح),5
03057200000,رؤوس و ذيول وفكوك اسماك,5
03057900000,زعانف وغيرها من احشاء السمك,5
03061100000,جراد البحر وأشباهه مجمد,5
03061200000,عقارب البحر (لوبستر) مجمدة,5
03061400000,سرطانات ( سلطعون ) مجمدة,5
03061500000,جراد بحر النرويج مجمدة,5
03061600000,ربيان مياه باردة مجمدة,5
03061700000,ربيان ( قريدس أو جمبري ) مجمدة,5
03061900000,قشريات أخر صالحة للاستهلاك مجمدة,5
03063100000,جراد بحر صخري وغيرها,5
03063200000,عقارب بحر أم الربيان,5
03063300100,سرطانات سلطعون او قبقب مجمدة,5
03063300900,سرطانات سلطعون او قبقب (غ. م.ك),5
03063400000,جراد بحر النرويج (Nephrops),5
03063500000,ربيان مياه باردة,5
03063600100,ربيان أخر مجمد,5
03063600900,ربيان أخر (غ.م.ك),5
03063900000,غيرها (قشريات) صالحة للاستهلاك,5
03066400000,جراد بحر النرويج,5
03069100000,جراد بحر (Palinurus etc),5
03069200000,عقارب بحر أم الربيان,5
03069300100,سرطانات سلطعون او قبقب مجمدة,5
03069300900,سرطانات سلطعون او قبقب (غ. م.ك),5
03069400000,جراد بحر النرويج,5
03069500100,ربيان أخر مجمد,5
03069500900,ربيان أخر (غ.م.ك),5
03069900000,غيرها (قشريات مدخنة/مجففة),5
03071100000,محار حي أو طازج أو مبرد,5
03071200000,محار مجمد,5
03071900000,محار مجفف أو مملح,5
03072100000,محار مروحي الشكل حي أو طازج,5
03072200000,محار مروحي الشكل مجمد,5
03072900000,محار مروحي الشكل مجفف أو مملح,5
03073100000,بلح البحر حي أو طازج أو مبرد,5
03073200000,بلح البحر مجمد,5
03073900000,بلح البحر مجفف أو مملح,5
03074200000,حبار وسبيدج حي أو طازج,5
03074300000,حبار وسبيدج مجمد,5
03074900000,حبار و سيبدج مجفف أو مملح,5
03075100000,أخطبوط حي أو طازج أو مبرد,5
03075200000,أخطبوط مجمد,5
03075900000,أخطبوط مجفف أو مملح,5
03076000000,حلزون حي أو طازج أو مبرد,5
03077100000,بطلينوس وكوكل حي أو طازج,5
03077200000,بطلينوس و كوكل مجمدة,5
03077900000,بطلينوس وكوكل أخر,5
03078100000,"اذن البحر ""ابلون"" حي أو طازج",5
03078200000,محار مقاتل حي أو طازج,5
03078300000,"أذن البحر ""ابالون"" مجمدة",5
03078400000,محار مقاتل مجمدة,5
03078700000,"أذن البحر ""ابالون"" أخر",5
03078800000,محار مقاتل أخر,5
03079100000,لا فقريات مائية حية أو طازجة,5
03079200000,لا فقريات مائية مجمدة,5
03079900000,رخويات مائية صالحة للاستهلاك,5
03081100000,خيار البحر حي او طازج أو مبرد,5
03081200000,خيار البحر مجمدة,5
03081900000,خيار البحر أخر,5
03082100000,قنفذ البحر حي او طازج أو مبرد,5
03082200000,قنفذ البحر مجمدة,5
03082900000,قنفذ البحر أخر,5
03083000000,قنديل البحر,5
03089000100,لا فقريات مائية حية طازجة مبردة,5
03089000200,لا فقريات مائية مجمدة,5
03089000900,لا فقريات مائية أخر صالحة للاستهلاك,5
03091000000,دقيق و سميد وكريات من أسماك,5
03099000000,دقیق و سميد وكريات من قشريات ورخويات,5
04011000100,لبن سائل محفوظ غير مركز وغير محلى يحتوي على دسم بنسبة < = 1% وزنا معبأ بعبوات لا تزيد عن 5 كغم,5
04011000200,لبن سائل محفوظ غير مركز وغير محلى يحتوي على دسم بنسبة < = 1% وزنا معباً بعبوات تزيد عن 5 كغم,5
04011000300,ألبان (عدا اللبن السائل المحفوظ غير مركزة وغير محلاة تحتوي على دسم بنسبة % 1وزنا ومعبأة بعبوات لا تزيد عن 5 كغم,5
04011000400,ألبان (عدا اللبن السائل المحفوظ غير مركزة وغير محلاة تحتوي على دسم بنسبة % 1وزنا ومعبأة بعبوات تزيد عن 5 كغم,5
04011000990,"قشدة, غير مركزة وغير محلاة تحتوي على دسم بنسبة لا تزيد عن 1% وزنا",5
04012000100,لبن سائل محفوظ غير مركز وغير محلى يحتوي على دسم بنسبة تزيد عن 1% ولا تتجاوز % 6وزنا معباً بعبوات لا تزيد عن 5 كغم,5
04012000200,لبن سائل محفوظ غير مركز وغير محلى يحتوي على دسم بنسبة تزيد عن %1% ولا تتجاوز % 6وزنا معباً بعبوات تزيد عن 5 كغم,5
04012000300,ألبان (عدا اللبن السائل المحفوظ غير مركزة وغير محلاة تحتوي على دسم بنسبة تزيد عن 1% ولا تتجاوز % 6وزنا معبأة بعبوات لا تزيد عن 5 كغم,5
04012000400,ألبان (عدا اللبن السائل المحفوظ غير مركزة وغير محلاة تحتوي على دسم بنسبة تزيد عن 1% ولا تتجاوز %% 6وزنا معبأة بعبوات تزيد عن 5 كغم,5
04012000990,"قشدة, غير مركزة وغير محلاة تحتوي على دسم بنسبة تزيد عن %1% ولا تتجاوز % 6وزنا",5
04014000100,لبن سائل محفوظ غير مركز وغير محلى يحتوي على دسم بنسبة تزيد عن %% 6ولا تتجاوز % 10وزنا معبأ بعبوات لا تزيد عن 5 كغم,5
04014000200,لبن سائل محفوظ غير مركز وغير محلى يحتوي على دسم بنسبة تزيد عن % 6ولا تتجاوز 10% وزنا معبأ بعبوات تزيد عن 5 كغم,5
04014000300,ألبان (عدا اللبن السائل المحفوظ غير مركزة وغير محلاة تحتوي على دسم بنسبة تزيد عن % 6ولا تتجاوز % 10وزنا معبأة بعبوات لا تزيد عن 5 كغم,5
04014000400,ألبان (عدا اللبن السائل المحفوظ غير مركزة وغير محلاة تحتوي على دسم بنسبة تزيد عن % 6ولا تتجاوز 10% وزنا معبأة بعبوات تزيد عن 5 كغم,5
04014000990,"قشدة, غير مركزة وغير محلاة تحتوي على دسم بنسبة تزيد عن % 6ولا تتجاوز 10% وزنا",5
04015000100,لبن سائل محفوظ غير مركز وغير محلى يحتوي على دسم بنسبة تتجاوز 10% وزنا معبأ بعبوات لا تزيد عن 5 كغم,5
04015000200,لبن سائل محفوظ غير مركز وغير محلى يحتوي على دسم بنسبة تتجاوز 10% وزنا معباً بعبوات تزيد عن 5 كغم,5
04015000300,ألبان (عدا اللبن السائل المحفوظ غير مركزة وغير محلاة تحتوي على دسم بنسبة تتجاوز % 10وزنا معبأة بعبوات لا تزيد عن 5 كغم,5
04015000400,ألبان (عدا اللبن السائل المحفوظ غير مركزة وغير محلاة تحتوي على دسم بنسبة تتجاوز % 10وزنا معبأة بعبوات تزيد عن 5 كغم,5
04015000990,"قشدة, غير مركزة وغير محلاة تحتوي على دسم بنسبة تتجاوز %10",5
04021020000,حليب مسحوق محلى أو غير محلى بنسبة دسم 1.5% وزنا وبعبوات محكمة الغلق بسعة 3 كغ,0
04021090100,حليب مسحوق محتوي على نسبة دسم لا تزيد عن 1.5% وزناً معباً بعبوات تزيد عن 3 كغم ولا تتجاوز كغم5,0
04021090200,حليب مسحوق محتوي على نسبة دسم لا تزيد عن 1.5% وزناً معبأ بعبوات تزيد عن 5 كغم,0
04021090900,ألبان وقشدة مركزة أو محلاة بشكل مسحوق أو حبيبات أو أشكال صلبة أخر (غ. م.ك) وبنسبة دسم 1.5% وزنا,0
04022120100,"ألبان مركزة لا تحتوي على... بشكل مسحوق أو ... 1.5% وزنادسم, في عبوات.. لا تزيد عن (3) كيلو غرام",0
04022120900,"قشدة مركزة لا تحتوي على... بشكل مسحوق أو ..1.5% وزنادسم, في.. عبوات لا تزيد عن (3) كيلو غرام",0
04022190100,حليب مسحوق محتوي على نسبة دسم تزيد عن 1.5% وزناً لا يحتوي على سكر مضاف معبأ بعبوات تزيد عن 3 كغم ولا تتجاوز 5 كغم,0
04022190200,حليب مسحوق محتوي على نسبة دسم تزيد عن 1.5% وزناً لا يحتوي على سكر مضاف معبأ بعبوات تزيد عن 5 كغم,0
04022190900,قشدة مركزة لا تحتوي على مواد تحلية بشكل مسحوق أو .. تحتوي > 1.5% وزنا دسم ( غ م ك ),0
